Date,Low,Open,Volume,High,Close,Adjusted Close
02-01-2020,73.79750061035156,74.05999755859375,135480400,75.1500015258789,75.0875015258789,73.6835708618164
03-01-2020,74.125,74.2874984741211,146322800,75.1449966430664,74.35749816894531,72.96720886230469
06-01-2020,73.1875,73.44750213623047,118387200,74.98999786376953,74.94999694824219,73.54862976074219
07-01-2020,74.37000274658203,74.95999908447266,108872000,75.2249984741211,74.59750366210938,73.2027359008789
08-01-2020,74.29000091552734,74.29000091552734,132079200,76.11000061035156,75.79750061035156,74.38029479980469
09-01-2020,76.55000305175781,76.80999755859375,170108400,77.60749816894531,77.40750122070312,75.96017456054688
10-01-2020,77.0625,77.6500015258789,140644800,78.1675033569336,77.5824966430664,76.13191223144531
13-01-2020,77.7874984741211,77.91000366210938,121532000,79.26750183105469,79.23999786376953,77.7584228515625
14-01-2020,78.0425033569336,79.17500305175781,161954400,79.39250183105469,78.16999816894531,76.70843505859375
15-01-2020,77.38749694824219,77.9625015258789,121923600,78.875,77.83499908447266,76.37969970703125
16-01-2020,78.02249908447266,78.39749908447266,108829200,78.92500305175781,78.80999755859375,77.33645629882812
17-01-2020,78.75,79.06749725341797,137816400,79.68499755859375,79.68250274658203,78.19266510009766
21-01-2020,79.0,79.29750061035156,110843200,79.75499725341797,79.14250183105469,77.66275024414062
22-01-2020,79.32749938964844,79.6449966430664,101832400,79.99749755859375,79.42500305175781,77.93997955322266
23-01-2020,78.9124984741211,79.4800033569336,104472000,79.88999938964844,79.80750274658203,78.31529998779297
24-01-2020,79.37999725341797,80.0625,146537600,80.8324966430664,79.57749938964844,78.0896224975586
27-01-2020,76.22000122070312,77.51499938964844,161940000,77.94249725341797,77.23750305175781,75.79337310791016
28-01-2020,78.04750061035156,78.1500015258789,162234000,79.5999984741211,79.42250061035156,77.93750762939453
29-01-2020,80.34500122070312,81.11250305175781,216229200,81.9625015258789,81.08499908447266,79.56893157958984
30-01-2020,79.6875,80.13500213623047,126743200,81.02249908447266,80.96749877929688,79.45362854003906
31-01-2020,77.07250213623047,80.23249816894531,199588400,80.66999816894531,77.37750244140625,75.93074035644531
03-02-2020,75.55500030517578,76.07499694824219,173788400,78.37249755859375,77.16500091552734,75.72222137451172
04-02-2020,78.40750122070312,78.82749938964844,136616400,79.91000366210938,79.7125015258789,78.22209167480469
05-02-2020,79.73750305175781,80.87999725341797,118826800,81.19000244140625,80.36250305175781,78.85993957519531
06-02-2020,80.06500244140625,80.64250183105469,105425600,81.30500030517578,81.30249786376953,79.78235626220703
07-02-2020,79.5,80.59249877929688,117684000,80.8499984741211,80.00749969482422,78.69792175292969
10-02-2020,78.4625015258789,78.54499816894531,109348800,80.38749694824219,80.38749694824219,79.07168579101562
11-02-2020,79.67749786376953,80.9000015258789,94323200,80.9749984741211,79.90249633789062,78.59461975097656
12-02-2020,80.36750030517578,80.36750030517578,113730400,81.80500030517578,81.80000305175781,80.46106719970703
13-02-2020,80.8375015258789,81.04750061035156,94747600,81.55500030517578,81.21749877929688,79.88810729980469
14-02-2020,80.7125015258789,81.18499755859375,80113600,81.49500274658203,81.23750305175781,79.90777587890625
18-02-2020,78.65249633789062,78.83999633789062,152531200,79.9375,79.75,78.44463348388672
